"id","biblio_id","entrez_id"
1,30,850432
2,73,855809
3,74,179243
4,49,179243
5,47,177924
6,42,177924
7,46,177924
8,35,2539781
9,75,2539781
10,76,14600
11,77,14600
12,78,14600
13,79,14600
14,80,14600
15,72,14600
16,81,14600
17,82,14600
18,64,40201
19,83,180311
20,15,855053
21,84,855053
22,23,855053
23,22,855053
24,2,855053
25,85,181503
26,86,853776
27,24,853777
28,11,851474
29,39,173078
30,43,173078
31,87,173078
32,88,173078
33,42,173078
34,52,173078
35,41,173078
36,89,173078
38,91,853529
39,92,853529
40,15,853529
41,93,853529
42,94,853529
43,95,853529
44,14,853529
45,20,853529
46,19,856092
47,17,856092
48,18,856092
50,68,33569
51,69,33569
52,96,856612
53,14,856612
54,13,856612
55,97,856612
56,6,856612
57,15,856612
58,93,856612
59,22,856612
60,98,856612
61,99,856612
62,70,2768677
63,100,40049
64,101,40049
65,66,40049
66,102,40049
67,103,40049
68,33,855080
69,32,855080
70,35,2540329
71,104,40015
72,15,853803
73,84,853803
74,23,853803
75,22,853803
76,2,853803
77,40,175410
78,105,175410
79,43,175410
80,106,175410
81,107,175410
82,108,175410
83,109,175410
84,110,175410
85,44,175410
86,38,175410
87,111,175410
88,112,175410
89,37,175410
90,113,175410
91,41,175410
92,114,175410
93,115,175410
94,116,175410
95,117,175410
96,9,850991
97,32,855346
98,30,852660
99,118,186633
100,73,851910
101,14,851910
102,94,851910
103,30,850745
104,73,852796
105,119,851261
106,120,186430
107,121,186430
108,5,851520
109,8,851520
110,1,851520
111,122,851520
112,7,851520
113,123,851520
114,6,851520
115,124,851520
116,125,851520
117,2,851520
118,3,851520
119,126,851520
120,4,851520
121,71,2768992
122,32,853826
123,54,179461
124,19,854086
125,17,854086
126,18,854086
127,2,851527
132,2,851019
133,15,850511
134,13,850511
135,93,850511
136,128,39761
137,129,39761
138,35,2541652
139,50,178005
140,90,33081
141,104,34276
142,130,855386
143,3,855386
144,131,855386
147,30,850782
148,104,38495
149,29,853344
150,30,856162
151,21,855653
152,57,188774
153,132,181863
154,133,181863
155,134,181863
156,15,855656
157,135,855656
158,60,38565
159,73,852294
160,34,2538770
161,9,852846
162,11,852846
163,10,852846
164,136,852846
165,137,854384
166,16,854384
167,138,854384
168,2,854384
169,136,854384
170,40,175729
171,139,175729
172,42,175729
173,140,175729
174,141,175729
175,44,175729
176,142,175729
177,143,175729
178,116,175729
179,144,855922
180,30,855922
181,39,181370
182,45,181370
183,24,854651
184,69,33918
185,145,171647
186,55,171647
188,146,13192683
189,147,13192683
190,120,13192683
191,30,854342
192,40,180357
193,49,180357
194,42,180357
195,40,172167
196,36,172167
197,148,172167
198,149,172167
199,48,172167
200,150,172167
201,11,855176
202,151,855176
203,30,851087
204,73,853149
205,30,852369
206,152,174994
207,45,174994
208,15,854675
209,135,854675
210,65,34708
211,60,34708
212,153,34708
214,34,2541720
215,32,855194
216,73,852493
219,2,852639
220,12,852639
221,63,64880
222,62,64880
223,2,856741
224,55,175985
225,154,851484
226,14,851484
227,94,851484
228,28,851484
229,155,851484
230,36,174762
231,156,174762
232,157,174762
233,158,174762
234,107,174762
235,111,174762
236,159,174762
237,160,174762
238,57,184647
239,56,184647
240,40,177778
241,43,180398
242,32,855983
243,161,174536
244,162,174536
245,120,174536
246,69,46260
247,43,172981
248,38,172981
249,37,172981
250,40,172981
251,39,172981
252,163,172981
253,164,172981
254,150,172981
255,117,172981
256,114,172981
257,165,172981
258,166,172981
259,111,172981
260,167,172981
261,36,172981
262,105,172981
263,106,172981
264,168,172981
265,42,172981
266,107,172981
267,169,172981
268,41,172981
269,170,172981
270,32,855479
271,73,851386
272,73,854053
273,171,854053
274,97,854053
275,99,854053
276,61,40650
277,40,177343
278,42,177343
279,38,177343
280,172,177343
281,164,177343
282,173,177345
283,51,177345
284,50,177345
285,86,854980
286,174,854980
287,175,854980
288,30,851142
289,40,176327
290,164,176327
294,57,176074
295,13,853452
296,2,853452
297,178,177613
300,27,853972
301,15,851670
302,94,851670
303,12,854231
304,11,854231
305,4,854231
307,152,259546
308,39,259546
309,45,259546
310,179,259546
311,30,855003
313,57,178554
314,180,181727
315,42,181727
316,37,181727
317,44,175072
318,39,175072
319,42,175072
320,54,174305
321,181,41709
322,67,41709
323,99,855012
324,30,855012
325,104,43515
326,57,176104
327,30,850684
328,88,555812
329,57,175341
330,71,39150
331,71,39151
332,119,854256
333,97,855029
334,99,855029
335,30,855029
336,182,853751
337,12,853751
338,51,172280
339,39,266836
340,45,266836
341,24,853755
342,43,176380
343,54,180359
344,53,180359
346,35,2541055
347,184,850532
348,183,850532
